,text,device,emotion
4274,google's marissa mayer location based fast fun future,,Positive emotion
4275,google's marissa mayer location based fast fun future,,No emotion toward brand or product
4276,google's marissa mayer rechristening augmented reality contextual discovery definitely le phillip dickish,,No emotion toward brand or product
4277,google's marissa mayer say location everything,,No emotion toward brand or product
4278,google's marissa mayer next looking forward,Google,Positive emotion
4279,google's marissa mayer mobile phone cursor connects physical digital world,Google,Positive emotion
4280,google's marissa mayer mobile phone cursor connects physical digital world,,No emotion toward brand or product
4281,watching marissa mayer talk advanced future google location based augmented reality project cool,Other Google product or service,Positive emotion
4282,google's marissa meyers product feature agree,,No emotion toward brand or product
4283,great summary marissa mayer talk layar hotpot map,,No emotion toward brand or product
4284,massive line apple store agree wait perhaps late early adopter,Apple,Positive emotion
4285,google's matt cut drop convoluted analogy america's funniest home video explain high volume web page automation,,No emotion toward brand or product
4286,google's mayer google map's route around feature save yr drive time every day missed amount gas save anyone,Other Google product or service,Positive emotion
4287,mayer's great theme simplicity something business always keep mind developing,,No emotion toward brand or product
4288,look sxsw i'm bearded guy plaid iphone nfusion,,No emotion toward brand or product
4289,go game launch iphone scavenger hunt li fb,,No emotion toward brand or product
4291,want time said ipad schedule heavier laptop where's ipad already,iPad,Positive emotion
4292,almost time enter win ipad emc booth exhibit hall,,No emotion toward brand or product
4293,hey pick one ya omg still line new ipad dieing hunger else line,,No emotion toward brand or product
4294,omg sign we're officially come grill ll get make iphone case,iPhone,Positive emotion
4295,bah somehow lost little ipad wipe session,,No emotion toward brand or product
4296,stop booth 206 win ipad2,,No emotion toward brand or product
4298,yup apple come cool technology one's ever heard go conference,Apple,Positive emotion
4299,next mom ipad designing boomer,,No emotion toward brand or product
4300,ipad dj rock estyaustin venue 222 36 others pic,,No emotion toward brand or product
4301,cool apple set open popup shop core action,,No emotion toward brand or product
4302,heh apple opening temporary store downtown austin ipad launch,,No emotion toward brand or product
4303,nice apple open pop store sxsw festival ipad mac,,Positive emotion
4304,yawn apple set open pop shop interactive conference apple ipad2,Apple,Positive emotion
4305,yay apple opening temp store austin ipad2,Apple,Positive emotion
4306,luv best thing heard wknd gave ipad money japan relief need ipad,,No emotion toward brand or product
4307,talk beginning first met summer 99 started always enjoy seeing speak,,No emotion toward brand or product
4308,brought google whitelists qagb,,No emotion toward brand or product
4309,awesome rough calculation beard ipad ratio sxsw,,No emotion toward brand or product
4311,rocking note working awesome mbp iphone app sync transparently,iPad or iPhone App,Positive emotion
4312,new android great can't wait use,Android,Positive emotion
4313,true tablet phone laptop evidence might well call country united state apple,,No emotion toward brand or product
4314,gt guy get tattoo sxsw could win free ipad2 tattoo ipad internet,,No emotion toward brand or product
4315,guess excuse get ipad,iPad,Positive emotion
4316,yes haha drinking game drink every time seth say game layer google venture cc,,No emotion toward brand or product
4317,haha many use apple cause one us window voluntarily kawasaki thisisdare,Apple,Positive emotion
4318,yay hoot new blog post hootsuite mobile update iphone blackberry android,iPad or iPhone App,Positive emotion
4319,yup woke iphone finished recharging mean got enough sleep last night right,,No emotion toward brand or product
4320,haha i'll bet there's lot nerd using iphone light saber app barroom brawl instead fist,iPad or iPhone App,Positive emotion
4321,lol i'll bet there's lot nerd using iphone light saber app barroom brawl instead fist,iPad or iPhone App,Positive emotion
4322,cool rumor apple opening temporary store downtown austin ipad,Apple,Positive emotion
4323,srsly rumor apple temporary store downtown austin ipad launch,iPad,Positive emotion
4324,hehe march 11 austin tx people line registration apple store mobile,,No emotion toward brand or product
4325,gt msc_page guy get tattoo sxsw could win free ipad2 tattoo ipad _,,No emotion toward brand or product
4326,yup ipad envy roof thanks every person,iPad,Positive emotion
4327,ipad dj deck killing,,No emotion toward brand or product
4328,ipad dj deck killing,,No emotion toward brand or product
4329,wow pop apple store seems pop ipad2s,Apple,No emotion toward brand or product
4330,fab spilled bean next platform flipboard iphone workin sxflip,iPad or iPhone App,Positive emotion
4331,hmmm google launch major new social network called circle possibly today,,No emotion toward brand or product
4332,lucky scored mophie juice pack tradeshow double iphone battery,iPhone,Positive emotion
4333,sweet opening temporary store downtown austin ipad launch,Apple,Positive emotion
4334,wow google launch major new social network called circle possibly today,Other Google product or service,Positive emotion
4335,joining soon 12 30pm hilton 615ab going android developer meetup,,No emotion toward brand or product
4336,zomg special apple store ipad line block long,,Positive emotion
4337,good purchased ipad see ppl buying white one nice frame presentation reading,,No emotion toward brand or product
4338,hearing travel across u social connection people wandering around ipad 2 shirt qr code,,No emotion toward brand or product
4339,thanks we're lovin app update iphone sure download familiarize usguys,iPad or iPhone App,Positive emotion
4340,hmm interrupt regularly scheduled geek programming big news google circle,,No emotion toward brand or product
4341,casually mentioned forecast dow six day ahead based google mood analysis twitter data smvis imrich,Google,Positive emotion
4342,marcelosomers new version google map mobile pretty amazing vector based fast marcelosomers,Google,Positive emotion
4343,line might started bit slow 45pm easily wrapped around ipad gadget,,No emotion toward brand or product
